"PROTEIN","FBgn","FBgn_mel","SYMBOL","Sec","Unique.peptides","LFQ.intensity.CAG_1A","LFQ.intensity.CAG_1B","LFQ.intensity.CAG_2_1","LFQ.intensity.CAG_2_2","LFQ.intensity.CAG_3","LFQ.intensity.CEB_1A","LFQ.intensity.CEB_1B","LFQ.intensity.CEB_2_1","LFQ.intensity.CEB_2_2","LFQ.intensity.CEB_3","LFQ.intensity.VAG_1A","LFQ.intensity.VAG_1B","LFQ.intensity.VAG_2_1","LFQ.intensity.VAG_2_2","LFQ.intensity.VAG_3","LFQ.intensity.VEB_1A","LFQ.intensity.VEB_1B","LFQ.intensity.VEB_2_1","LFQ.intensity.VEB_2_2","LFQ.intensity.VEB_3"
"augustus_masked-scaffold1044-size25730-abinit-gene-0.0-mRNA-1","FBgn0203149","FBgn0024183","GJ15963",NA,5,28842000,18114000,7105600,10997000,10966000,35029000,41646000,41683000,41253000,32768000,5890600,12172000,11907000,11160000,13504000,27397000,39275000,37563000,30865000,24825000
"augustus_masked-scaffold1048-size39987-abinit-gene-0.2-mRNA-1","FBgn0209178","FBgn0034390","GJ22064",NA,6,16480000,1.5e+07,18048000,19524000,21248000,19309000,21053000,36633000,35975000,2.3e+07,24784000,25327000,16852000,16023000,23151000,46342000,46883000,32003000,32166000,38106000
"augustus_masked-scaffold1052-size20520-abinit-gene-0.2-mRNA-1","FBgn0201616","FBgn0038080","GJ14403",NA,6,22368000,29355000,12977000,14944000,9248400,32100000,32226000,62978000,57418000,30355000,24182000,25008000,9018300,12609000,9884700,30414000,32049000,15410000,17846000,31322000
"augustus_masked-scaffold1062-size56139-abinit-gene-0.1-mRNA-1","FBgn0209743","FBgn0004395","GJ22639",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3973500
"augustus_masked-scaffold1074-size52389-abinit-gene-0.11-mRNA-1",NA,NA,NA,NA,3,51824000,41596000,35133000,31392000,33981000,37756000,38737000,32733000,33787000,32345000,36423000,43334000,37237000,35484000,33391000,41825000,44874000,30095000,0,39815000
"augustus_masked-scaffold107-size198745-abinit-gene-0.9-mRNA-1","FBgn0210888","FBgn0037643","GJ23792",NA,16,65415000,64061000,75074000,78746000,67433000,115480000,107910000,151470000,150340000,165290000,55928000,58719000,58698000,60835000,59307000,126730000,133100000,153880000,154600000,166870000
"augustus_masked-scaffold107-size198745-abinit-gene-1.6-mRNA-1","FBgn0210884","FBgn0038771","GJ23787",NA,10,29162000,27051000,31018000,22212000,26875000,63334000,75140000,89753000,91924000,84675000,24047000,32340000,31224000,33601000,28166000,84218000,87617000,83245000,88561000,98337000
"augustus_masked-scaffold1089-size22845-abinit-gene-0.4-mRNA-1","FBgn0199862","FBgn0266417","GJ12625",NA,7,0,0,0,0,0,25047000,28331000,30429000,28832000,42893000,0,0,0,5432100,8702100,16566000,15509000,18942000,18536000,15844000
"augustus_masked-scaffold1097-size90707-abinit-gene-0.2-mRNA-1","FBgn0199579","FBgn0040793","GJ12333",NA,2,35090000,29876000,36498000,39766000,33059000,27406000,26128000,8414900,10402000,13908000,31590000,30051000,32482000,36063000,24790000,11553000,11241000,9306900,10460000,6418900
"augustus_masked-scaffold10-size128359-abinit-gene-0.0-mRNA-1","FBgn0198740","FBgn0035811","GJ11482","Sec",8,25604000,19178000,20903000,18128000,21466000,19823000,20137000,21504000,19574000,24090000,17272000,20917000,22757000,22468000,20751000,17772000,17036000,16478000,18161000,20574000
"augustus_masked-scaffold1102-size102867-abinit-gene-0.1-mRNA-1","FBgn0204408","FBgn0004177","GJ17232",NA,2,7900700,0,0,0,0,11535000,10824000,0,11711000,16082000,0,0,8671900,8583100,10340000,12030000,12819000,12284000,11541000,13732000
"augustus_masked-scaffold1102-size102867-abinit-gene-0.2-mRNA-1","FBgn0197399","FBgn0028694","GJ10111",NA,3,6079200,0,0,0,9625700,13236000,13914000,12747000,10179000,9039700,11132000,10416000,8376400,9540400,0,13537000,13208000,10598000,11439000,10116000
"augustus_masked-scaffold1104-size19587-abinit-gene-0.0-mRNA-1","FBgn0207317","FBgn0035423","GJ20177",NA,3,0,15191000,11186000,10180000,11297000,5214700,6567000,4562400,6983100,9988500,10577000,9725100,13954000,13742000,13465000,6151000,5972500,8474400,8903800,7890100
"augustus_masked-scaffold1108-size56757-abinit-gene-0.9-mRNA-1","FBgn0208745","FBgn0004867","GJ21626",NA,13,194390000,164690000,168620000,185410000,220680000,116980000,97945000,170380000,118320000,170270000,208290000,185200000,261010000,259810000,203370000,176330000,151100000,164850000,183670000,129590000
"augustus_masked-scaffold110-size75150-abinit-gene-0.6-mRNA-1",NA,NA,NA,NA,2,26359000,22949000,23694000,23599000,18709000,45925000,42086000,35394000,35705000,32938000,34230000,23881000,26803000,25469000,20758000,51668000,48337000,36451000,38227000,40073000
"augustus_masked-scaffold110-size75150-abinit-gene-0.7-mRNA-1","FBgn0210578","FBgn0250906","GJ23480",NA,24,133940000,138330000,135090000,134390000,114850000,208700000,207790000,243970000,254130000,257810000,137940000,138840000,140160000,137510000,127010000,231560000,254540000,226630000,230400000,295830000
"augustus_masked-scaffold1125-size28053-abinit-gene-0.0-mRNA-1","FBgn0202032","FBgn0029804","GJ14828",NA,13,150790000,141590000,137700000,132430000,130480000,0,0,10631000,11979000,0,216030000,232580000,307800000,689840000,237210000,0,0,0,0,0
"augustus_masked-scaffold1125-size28053-abinit-gene-0.1-mRNA-1",NA,NA,NA,NA,6,282070000,353440000,334300000,344290000,372160000,0,0,0,0,0,408230000,300110000,334760000,340290000,403800000,0,0,0,0,0
"augustus_masked-scaffold1128-size17796-abinit-gene-0.1-mRNA-1","FBgn0208323","FBgn0027607","GJ21190",NA,5,14376000,13833000,12991000,11340000,11974000,6401300,4863500,6512500,0,9390200,18771000,14936000,17588000,19621000,13835000,0,8909400,9379700,9641300,6255300
"augustus_masked-scaffold1131-size44983-abinit-gene-0.2-mRNA-1","FBgn0199889","FBgn0036580","GJ12652",NA,2,0,0,0,0,0,5365500,6200500,8037600,6683800,4006700,0,0,0,0,0,5388500,6783100,3745200,0,6708300
"augustus_masked-scaffold1134-size30922-abinit-gene-0.1-mRNA-1","FBgn0206078","FBgn0030653","GJ18932",NA,4,0,0,0,0,0,5586700,7622500,6261600,6513000,10892000,0,0,0,0,0,6948400,5144100,6768700,5378700,9711500
"augustus_masked-scaffold1134-size30922-abinit-gene-0.3-mRNA-1","FBgn0206079","FBgn0030658","GJ18933","Sec",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272200,0,0,0,0,0
"augustus_masked-scaffold1142-size21381-abinit-gene-0.0-mRNA-1","FBgn0210089","FBgn0039800","GJ22987","Sfp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755000
"augustus_masked-scaffold1142-size21381-abinit-gene-0.1-mRNA-1","FBgn0210091","FBgn0039800","GJ22989","Sfp",2,0,0,0,0,0,0,0,13472000,9003200,0,0,0,0,0,0,0,0,0,0,5324800
"augustus_masked-scaffold1149-size19728-abinit-gene-0.0-mRNA-1","FBgn0208481","FBgn0267002","GJ21351",NA,1,27580000,58137000,0,0,8205200,0,0,0,0,0,56716000,67540000,0,0,0,0,0,0,0,0
"augustus_masked-scaffold114-size71434-abinit-gene-0.2-mRNA-1","FBgn0200896","FBgn0036096","GJ13675",NA,4,0,0,0,0,0,0,0,0,4631400,3821300,5633700,0,0,0,0,5058000,0,5185100,4207000,4645400
"augustus_masked-scaffold1155-size33072-abinit-gene-0.3-mRNA-1","FBgn0201267","FBgn0036173","GJ14049","Sec",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170800
"augustus_masked-scaffold1162-size60397-abinit-gene-0.6-mRNA-1","FBgn0208916","FBgn0263510","GJ21798",NA,2,0,0,0,0,0,0,0,0,0,4007900,0,0,0,0,0,0,0,3803600,3650000,0
"augustus_masked-scaffold1165-size33230-abinit-gene-0.0-mRNA-1","FBgn0211313","FBgn0051021","GJ24231","Sec",15,286010000,216040000,279390000,274320000,313830000,0,0,0,0,0,248290000,210970000,280460000,269190000,233940000,0,0,0,0,0
"augustus_masked-scaffold116-size166566-abinit-gene-1.10-mRNA-1","FBgn0208434","FBgn0004921","GJ21302",NA,3,0,0,0,0,0,11752000,11119000,0,0,12016000,0,0,0,10568000,0,11142000,10069000,10519000,11212000,9240200
"augustus_masked-scaffold116-size166566-abinit-gene-1.1-mRNA-1","FBgn0208185","FBgn0033351","GJ21051",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270200,0,0
"augustus_masked-scaffold1171-size39208-abinit-gene-0.3-mRNA-1","FBgn0201240","FBgn0026150","GJ14022","Sec",11,43530000,35203000,42118000,42205000,35455000,23641000,26997000,27259000,28856000,26054000,41256000,45010000,42697000,46001000,40301000,26264000,31124000,23998000,24249000,27408000
"augustus_masked-scaffold1171-size39208-abinit-gene-0.6-mRNA-1","FBgn0198563","FBgn0036136","GJ11302",NA,4,0,0,4671500,4990700,0,7116300,10194000,6285600,0,5569500,0,6174800,6747900,0,0,7012200,7957000,6807900,6868200,6967200
"augustus_masked-scaffold1172-size21210-abinit-gene-0.1-mRNA-1","FBgn0260403",NA,"-","Sec",6,19573000,15210000,16231000,13745000,27499000,4740000,5478100,0,11012000,9173600,18480000,18559000,22211000,23730000,31054000,9125400,11127000,9059000,9824100,12906000
"augustus_masked-scaffold11758-size971-abinit-gene-0.0-mRNA-1",NA,NA,NA,NA,2,7554200,10542000,8650300,7125600,7099400,5898600,6211400,0,6404300,6473200,13275000,7746400,7282600,0,8639400,0,0,0,0,0
"augustus_masked-scaffold1180-size62145-abinit-gene-0.8-mRNA-1","FBgn0203257","FBgn0035271","GJ16072",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878800,0
"augustus_masked-scaffold1196-size61933-abinit-gene-0.2-mRNA-1","FBgn0197778","FBgn0039812","GJ10498",NA,2,17278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"augustus_masked-scaffold1200-size75956-abinit-gene-0.1-mRNA-1","FBgn0200246","FBgn0028582","GJ13012",NA,3,0,0,0,0,0,7670700,7711300,8132300,6686100,6303200,0,0,0,0,0,7606800,6986200,7141500,6136200,7317000
"augustus_masked-scaffold12033-size947-abinit-gene-0.0-mRNA-1",NA,NA,NA,NA,3,31460000,5026400,8956900,10013000,8069000,204260000,60901000,23469000,28747000,46903000,7455300,6917200,11003000,9293700,10816000,117760000,41899000,43668000,130420000,107890000
"augustus_masked-scaffold12079-size945-abinit-gene-0.0-mRNA-1",NA,NA,NA,NA,7,10895000,9932400,0,6602500,6137200,38320000,28537000,41428000,40155000,38220000,0,11037000,11566000,9925900,10561000,11690000,10981000,11085000,10658000,12640000
"augustus_masked-scaffold120-size66365-abinit-gene-0.3-mRNA-1","FBgn0210119","FBgn0004629","GJ23017","Sfp",6,171920000,306320000,239090000,203480000,230960000,66061000,60794000,125990000,126340000,80433000,101930000,111490000,101830000,95260000,122800000,145510000,170340000,146260000,141760000,153200000
"augustus_masked-scaffold121-size91240-abinit-gene-0.4-mRNA-1","FBgn0200114","FBgn0063498","GJ12879",NA,2,3066200,0,3904900,2930500,0,0,0,0,0,0,0,3000200,2969500,2613300,0,0,0,0,0,0
"augustus_masked-scaffold1225-size45558-abinit-gene-0.3-mRNA-1","FBgn0209399","FBgn0014020","GJ22286",NA,3,0,0,6523000,6333700,0,6621700,7320900,9518100,7534000,10586000,6884300,0,7017700,5980600,6765300,6214300,6850300,6348400,0,9093200
"augustus_masked-scaffold1236-size68049-abinit-gene-0.6-mRNA-1","FBgn0201272","FBgn0042138","GJ14054",NA,6,13898000,15851000,11410000,12111000,16525000,21520000,22496000,24713000,33706000,27250000,19693000,21264000,23146000,28624000,20874000,35752000,26654000,32525000,33806000,44574000
"augustus_masked-scaffold123-size100118-abinit-gene-0.2-mRNA-1","FBgn0203241","FBgn0035266","GJ16056",NA,3,0,0,0,0,0,0,3540800,5092700,4217900,0,0,0,0,0,0,0,4337900,4536200,4259000,0
"augustus_masked-scaffold12434-size920-abinit-gene-0.0-mRNA-1","FBgn0204155","FBgn0014411","GJ16978",NA,2,0,0,0,0,0,1318400,0,0,0,2674200,0,0,0,0,0,1498000,1740200,1892600,0,1900700
"augustus_masked-scaffold1248-size34368-abinit-gene-0.4-mRNA-1","FBgn0199817","FBgn0264693","GJ12577",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760300
"augustus_masked-scaffold1249-size52510-abinit-gene-0.6-mRNA-1","FBgn0204474","FBgn0032597","GJ17301",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606520,0
"augustus_masked-scaffold1249-size52510-abinit-gene-0.7-mRNA-1","FBgn0204473","FBgn0032596","GJ17300",NA,7,36218000,55331000,38460000,38037000,37125000,36509000,45306000,37439000,36867000,49252000,38216000,26097000,31016000,27542000,35254000,44950000,46463000,44942000,42441000,36934000
"augustus_masked-scaffold1273-size82452-abinit-gene-0.0-mRNA-1","FBgn0206130","FBgn0004957","GJ18984",NA,3,7159400,5793300,5952400,5286200,6996000,0,0,0,0,0,0,4109100,4625800,5311500,7841200,0,0,0,0,0
"augustus_masked-scaffold1274-size27350-abinit-gene-0.0-mRNA-1","FBgn0199392","FBgn0031771","GJ12140",NA,4,6908400,5622300,7272700,6448500,6324300,6926000,6629400,0,4848300,5947900,6621200,5824500,7309200,7580700,6307800,6131300,6603900,6380700,6336700,5836500
"augustus_masked-scaffold127-size85436-abinit-gene-0.12-mRNA-1","FBgn0199017","FBgn0085484","GJ11763",NA,6,0,0,0,0,0,7305300,7452100,12310000,11200000,11260000,0,0,0,0,0,10417000,6655100,5865600,0,11473000
"augustus_masked-scaffold1294-size58738-abinit-gene-0.5-mRNA-1","FBgn0198572","FBgn0250848","GJ11312","Sfp",10,62781000,44424000,94216000,102450000,93979000,26060000,23250000,28614000,26688000,30938000,41986000,41513000,47193000,54339000,54073000,32266000,34809000,36742000,40140000,44521000
"augustus_masked-scaffold129-size187042-abinit-gene-1.9-mRNA-1","FBgn0044889","FBgn0017579","GJ13054",NA,9,124980000,113530000,121550000,138670000,111010000,136990000,144470000,119190000,122400000,147740000,145720000,126320000,190050000,170670000,143530000,190530000,162930000,154370000,169480000,108310000
"augustus_masked-scaffold1307-size30199-abinit-gene-0.6-mRNA-1","FBgn0210944","FBgn0039212","GJ23849",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041700,0,0
"augustus_masked-scaffold130-size166479-abinit-gene-0.1-mRNA-1","FBgn0207966","FBgn0033446","GJ20829",NA,10,59262000,55733000,44335000,46741000,35050000,157590000,165070000,140770000,143680000,147860000,55281000,55299000,57121000,55119000,32041000,132830000,140080000,110870000,114380000,96428000
"augustus_masked-scaffold130-size166479-abinit-gene-0.2-mRNA-1","FBgn0208635","FBgn0040093","GJ21515","Sfp",15,1920800000,1142500000,1021800000,1044300000,1080700000,699680,0,0,0,1460100,934160000,908110000,1.273e+09,837320000,1.014e+09,0,0,0,1125800,0
"augustus_masked-scaffold130-size166479-abinit-gene-0.4-mRNA-1","FBgn0207964","FBgn0033448","GJ20827",NA,10,27779000,23802000,21137000,17964000,13154000,40055000,36717000,41239000,38739000,40618000,31255000,30544000,30110000,29057000,21014000,37363000,43235000,30369000,29088000,34835000
"augustus_masked-scaffold1315-size72164-abinit-gene-0.4-mRNA-1","FBgn0199173","FBgn0037137","GJ11920",NA,3,11763000,15708000,12460000,11277000,12188000,12075000,9718800,7917900,9222700,8904600,21925000,15870000,15680000,14169000,9043100,8861100,8503400,9746200,0,0
"augustus_masked-scaffold1317-size67552-abinit-gene-0.7-mRNA-1","FBgn0205696","FBgn0030362","GJ18538","Sfp",15,90480000,88728000,95404000,91272000,91517000,46117000,49400000,75916000,70268000,62713000,216650000,222500000,194230000,210330000,241440000,81082000,79443000,75408000,69894000,77819000
"augustus_masked-scaffold1319-size40510-abinit-gene-0.3-mRNA-1","FBgn0210750","FBgn0032889","GJ23653","Sfp",8,0,0,6483600,0,0,19985000,16306000,21280000,20014000,27938000,0,0,0,4597000,0,7199700,6699500,6427700,5866000,13623000
"augustus_masked-scaffold1321-size54054-abinit-gene-0.11-mRNA-1","FBgn0200177","FBgn0004636","GJ12943",NA,3,6367200,0,7829400,7053200,7281800,6552800,5092000,7386000,7079500,8651800,6667100,7972300,7232700,6362200,6752400,6616400,6644700,8004700,7436800,7208800
"augustus_masked-scaffold1325-size50434-abinit-gene-0.0-mRNA-1","FBgn0210215","FBgn0263396","GJ23113",NA,7,71380000,92521000,101390000,101860000,100810000,48242000,55115000,52020000,50428000,56950000,91660000,95466000,103640000,116450000,114550000,56198000,59395000,55131000,55373000,51248000
"augustus_masked-scaffold1343-size47091-abinit-gene-0.0-mRNA-1","FBgn0211115","FBgn0032400","GJ24028",NA,3,92306000,60716000,20860000,27995000,48432000,3748900,4304400,4853400,4416200,3968600,24447000,56183000,83488000,24063000,20162000,2485700,3526100,2915800,0,2197600
"augustus_masked-scaffold1355-size29320-abinit-gene-0.0-mRNA-1","FBgn0206302","FBgn0001186","GJ19157",NA,8,8311300,15798000,9515100,8379700,7720500,13743000,14488000,17092000,16167000,17740000,14140000,14911000,15630000,13533000,10480000,16268000,16641000,18578000,25123000,25266000
"augustus_masked-scaffold135-size175197-abinit-gene-1.14-mRNA-1","FBgn0197588","FBgn0037652","GJ10302",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634500,0
"augustus_masked-scaffold135-size175197-abinit-gene-1.4-mRNA-1","FBgn0198154","FBgn0037874","GJ10886",NA,11,133720000,152160000,129810000,148570000,123950000,354960000,395100000,468360000,473630000,370020000,161930000,170200000,142540000,140280000,135490000,340440000,354960000,306390000,335100000,415800000
"augustus_masked-scaffold13610-size846-abinit-gene-0.0-mRNA-1",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218000
"augustus_masked-scaffold1363-size21962-abinit-gene-0.2-mRNA-1","FBgn0204711","FBgn0015031","GJ17541",NA,3,35818000,27337000,18091000,30152000,30555000,28330000,24585000,6916300,6487200,8684500,30758000,19288000,31509000,21062000,25518000,9548300,8779600,0,8657400,0
"augustus_masked-scaffold1365-size77360-abinit-gene-0.12-mRNA-1","FBgn0205688","FBgn0030347","GJ18530",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3570000
"augustus_masked-scaffold1365-size77360-abinit-gene-0.5-mRNA-1","FBgn0206587","FBgn0260450","GJ19444","Sec",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5183900
"augustus_masked-scaffold137-size142473-abinit-gene-1.2-mRNA-1","FBgn0201007","FBgn0264561","GJ13788","Sec",5,12489000,9403600,12357000,10505000,10357000,6452800,5879900,6180700,6356800,6452700,12815000,10131000,25715000,35965000,17388000,4955800,0,4258300,0,4545000
"augustus_masked-scaffold137-size142473-abinit-gene-1.5-mRNA-1","FBgn0198774","FBgn0037087","GJ11516",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836500
"augustus_masked-scaffold1386-size39429-abinit-gene-0.3-mRNA-1","FBgn0203958","FBgn0040376","GJ16779",NA,8,268050000,228350000,2.57e+08,251550000,280450000,0,0,0,0,0,292520000,271170000,310550000,314740000,292590000,0,0,0,0,0
"augustus_masked-scaffold138-size115805-abinit-gene-0.2-mRNA-1","FBgn0209797","FBgn0014863","GJ22693",NA,5,89569000,100920000,49310000,88600000,43087000,182610000,187540000,29824000,36714000,20858000,55096000,39405000,46175000,45822000,57517000,33217000,42791000,26263000,28029000,21916000
"augustus_masked-scaffold138-size115805-abinit-gene-1.1-mRNA-1","FBgn0211656","FBgn0002306","GJ24577",NA,8,0,10814000,9023900,0,0,13344000,24401000,15290000,16078000,21193000,0,0,0,0,0,15128000,17144000,18512000,14879000,17168000
"augustus_masked-scaffold13-size125346-abinit-gene-0.14-mRNA-1","FBgn0199100","FBgn0014075","GJ11846","Sec",37,189720000,212130000,216530000,208200000,238920000,74434000,85896000,92927000,89662000,80468000,244790000,226770000,231380000,235890000,242490000,102910000,120530000,119540000,114350000,129090000
"augustus_masked-scaffold13-size125346-abinit-gene-0.16-mRNA-1","FBgn0199099","FBgn0085284","GJ11845",NA,2,0,0,0,0,0,5479400,5148800,0,0,0,0,0,0,0,0,0,0,6527000,0,8789100
"augustus_masked-scaffold13-size125346-abinit-gene-0.9-mRNA-1","FBgn0199103","FBgn0036825","GJ11849",NA,6,54035000,36967000,48534000,54622000,46770000,24517000,19918000,22184000,19834000,28416000,42765000,39190000,59847000,67185000,52810000,27280000,24166000,31210000,32513000,17956000
"augustus_masked-scaffold140-size106990-abinit-gene-0.13-mRNA-1",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2714400
"augustus_masked-scaffold1420-size48917-abinit-gene-0.5-mRNA-1","FBgn0202516",NA,"GJ15322",NA,8,20243000,0,16503000,15823000,13347000,17930000,19704000,15511000,13212000,11671000,0,0,15536000,17080000,0,11372000,14559000,12306000,10335000,9358600
"augustus_masked-scaffold1429-size15012-abinit-gene-0.2-mRNA-1","FBgn0208153","FBgn0085220","GJ21018",NA,4,35921000,47327000,31650000,31132000,34653000,33136000,35672000,37099000,32890000,31700000,35692000,43913000,38681000,36114000,39446000,40709000,46952000,37379000,36308000,39635000
"augustus_masked-scaffold142-size401332-abinit-gene-1.8-mRNA-1","FBgn0207352","FBgn0010531","GJ20212",NA,2,0,0,0,0,0,0,1938800,0,0,2079400,0,0,0,0,0,0,0,0,0,0
"augustus_masked-scaffold1431-size73768-abinit-gene-0.4-mRNA-1","FBgn0210734","FBgn0037685","GJ23637",NA,5,0,0,0,0,0,17898000,21622000,22641000,22169000,22072000,0,0,0,0,0,16282000,19375000,17942000,18315000,19304000
"augustus_masked-scaffold1438-size64040-abinit-gene-0.5-mRNA-1","FBgn0205213","FBgn0050392","GJ18048",NA,1,0,0,0,0,0,0,0,0,0,2538300,0,0,0,0,0,0,0,0,0,0
"augustus_masked-scaffold1438-size64040-abinit-gene-0.8-mRNA-1","FBgn0205235","FBgn0086904","GJ18070",NA,7,105150000,88039000,111180000,114820000,119180000,60678000,55196000,41870000,45310000,94525000,102830000,81977000,140710000,132190000,156180000,57562000,57760000,93284000,97632000,86424000
"augustus_masked-scaffold143-size91301-abinit-gene-0.13-mRNA-1","FBgn0204737","FBgn0026196","GJ17567",NA,11,34494000,35110000,34509000,39128000,23438000,14218000,14354000,15425000,12090000,13052000,36090000,32462000,40357000,36866000,27370000,15303000,11291000,13679000,12832000,8454200
"augustus_masked-scaffold1441-size23942-abinit-gene-0.0-mRNA-1","FBgn0200969","FBgn0026418","GJ13748",NA,19,58944000,56087000,56449000,70566000,57966000,122460000,117240000,150130000,146470000,133590000,58528000,62628000,54857000,58975000,48847000,133380000,147190000,146850000,139700000,151250000
"augustus_masked-scaffold1445-size14848-abinit-gene-0.0-mRNA-1","FBgn0207443","FBgn0028371","GJ20303",NA,2,0,0,0,0,0,3943500,0,2289400,0,2057700,0,0,0,0,0,3545600,3662100,0,0,0
"augustus_masked-scaffold147-size255492-abinit-gene-1.10-mRNA-1","FBgn0207108","FBgn0030683","GJ19966",NA,8,0,0,0,8071300,0,23025000,23968000,23714000,21653000,39455000,0,12429000,12446000,0,0,17282000,17620000,19847000,21148000,26709000
"augustus_masked-scaffold147-size255492-abinit-gene-1.1-mRNA-1","FBgn0207112","FBgn0034138","GJ19970",NA,6,151520000,174820000,144440000,136850000,141140000,153400000,152350000,159340000,155660000,131550000,133420000,136230000,132300000,131800000,150440000,118980000,174750000,145810000,141490000,106180000
"augustus_masked-scaffold14-size177586-abinit-gene-1.0-mRNA-1","FBgn0203869","FBgn0032864","GJ16686","Sec",3,6440200,0,13215000,7276500,0,4691600,0,0,0,0,8761100,9397900,6521100,0,14306000,0,3862500,3606700,0,4628700
"augustus_masked-scaffold1502-size22333-abinit-gene-0.0-mRNA-1","FBgn0199818","FBgn0035499","GJ12578",NA,6,50131000,42951000,48415000,51327000,40723000,77477000,71876000,74741000,76185000,80072000,51124000,49713000,34307000,33915000,33215000,64682000,63778000,65769000,67870000,77807000
