"PROTEIN","ID","Gene","t","N","S","dN.dS","dN","dS","N.dN","S.dS"
"maker-scaffold701-size66642-snap-gene-0.41-mRNA-1","00064","64",0.059,1343.7,339.3,0.0374,0.0032,0.0851,4.3,28.9
"augustus_masked-scaffold701-size66642-abinit-gene-0.10-mRNA-1","00068","68",0.104,689.2,207.8,0.0407,0.0054,0.1325,3.7,27.5
"maker-scaffold701-size66642-augustus-gene-0.36-mRNA-1","00069","69",0.044,3101.6,957.4,0.0504,0.0027,0.0533,8.3,51
"maker-scaffold701-size66642-augustus-gene-0.35-mRNA-1","00070","70",0.129,744.1,197.9,0.0465,0.0081,0.1743,6,34.5
"augustus_masked-scaffold701-size66642-abinit-gene-0.2-mRNA-1","00071","71",0.136,1919.1,567.9,0.0693,0.0111,0.1606,21.4,91.2
"maker-scaffold701-size66642-augustus-gene-0.33-mRNA-1","00073","73",0.08,480.3,119.7,0.0475,0.0053,0.1122,2.6,13.4
"maker-scaffold3134-size12476-augustus-gene-0.5-mRNA-1","00076","76",0.022,817.1,208.9,0.0534,0.0016,0.0292,1.3,6.1
"maker-scaffold1131-size44983-augustus-gene-0.11-mRNA-1","00081","81",0.118,1561.5,388.5,0.0631,0.0099,0.157,15.5,61
"augustus_masked-scaffold1131-size44983-abinit-gene-0.2-mRNA-1","00082","82",0.009,302.8,90.2,0.0231,3e-04,0.012,0.1,1.1
"maker-scaffold2-size192349-snap-gene-0.29-mRNA-1","00085","85",0.132,922.6,262.4,0.0238,0.0044,0.1831,4,48.1
"augustus_masked-scaffold2-size192349-abinit-gene-0.4-mRNA-1","00088","88",0.041,824.4,261.6,0.0312,0.0016,0.0511,1.3,13.4
"maker-scaffold2-size192349-augustus-gene-0.28-mRNA-1","00090","90",0.086,531.6,170.4,0.0342,0.0037,0.1071,1.9,18.3
"maker-scaffold2-size192349-snap-gene-0.35-mRNA-1","00091","91",0.073,128.9,36.1,0.0125,0.0013,0.1065,0.2,3.8
"augustus_masked-scaffold2-size192349-abinit-gene-1.3-mRNA-1","00094","94",0.08,855.7,299.3,0.0489,0.0044,0.0904,3.8,27.1
"augustus_masked-scaffold2-size192349-abinit-gene-1.21-mRNA-1","00095","95",0.102,1173.2,371.8,0.0956,0.0104,0.1088,12.2,40.5
"snap_masked-scaffold2-size192349-abinit-gene-1.40-mRNA-1","00096","96",0.009,1021.6,328.4,0.0182,2e-04,0.0123,0.2,4
"augustus_masked-scaffold2-size192349-abinit-gene-1.5-mRNA-1","00099","99",0.086,730.6,253.4,0.1769,0.013,0.0738,9.5,18.7
"augustus_masked-scaffold2-size192349-abinit-gene-1.14-mRNA-1","00100","100",0.097,506,163,0.0139,0.0018,0.1278,0.9,20.8
"augustus_masked-scaffold2-size192349-abinit-gene-1.23-mRNA-1","00104","104",0.066,197.2,51.8,0.0655,0.0055,0.0843,1.1,4.4
"augustus_masked-scaffold2-size192349-abinit-gene-1.4-mRNA-1","00106","106",0.083,394.5,142.5,0.0102,0.001,0.1008,0.4,14.4
"augustus_masked-scaffold2-size192349-abinit-gene-1.20-mRNA-1","00107","107",0.324,132.1,50.9,0.0772,0.025,0.3235,3.3,16.5
"maker-scaffold2-size192349-augustus-gene-1.60-mRNA-1","00108","108",0.121,436.5,166.5,0.056,0.0071,0.1269,3.1,21.1
"maker-scaffold2-size192349-augustus-gene-1.56-mRNA-1","00110","110",0.048,852.5,296.5,0.0779,0.0039,0.0504,3.3,14.9
"maker-scaffold2-size192349-snap-gene-1.83-mRNA-1","00113","113",0.027,650.9,228.1,0.0453,0.0014,0.0305,0.9,7
"maker-scaffold2-size192349-snap-gene-1.84-mRNA-1","00115","115",0.05,454.2,184.8,0.258,0.0091,0.0351,4.1,6.5
"maker-scaffold2-size192349-snap-gene-1.85-mRNA-1","00116","116",0.133,1815.7,686.3,0.1219,0.0148,0.1217,26.9,83.6
"maker-scaffold2-size192349-snap-gene-1.82-mRNA-1","00117","117",0.103,701.5,246.5,0.1306,0.0126,0.0962,8.8,23.7
"augustus_masked-scaffold2-size192349-abinit-gene-1.22-mRNA-1","00118","118",0.056,394.2,145.8,0.0109,7e-04,0.0673,0.3,9.8
"augustus_masked-scaffold2-size192349-abinit-gene-1.18-mRNA-1","00119","119",0.138,814.3,265.7,0.0208,0.0036,0.1755,3,46.6
"maker-scaffold2-size192349-augustus-gene-1.59-mRNA-1","00120","120",0.078,551.5,186.5,0.0399,0.0037,0.0919,2,17.1
"maker-scaffold4447-size3797-augustus-gene-0.4-mRNA-1","00128","128",0.066,362.6,93.4,0.1121,0.0084,0.0748,3,7
"maker-scaffold4447-size3797-snap-gene-0.8-mRNA-1","00129","129",0.137,872.4,252.6,0.0563,0.0096,0.1698,8.3,42.9
"maker-scaffold8716-size1338-snap-gene-0.3-mRNA-1","00130","130",0.069,558.7,158.3,8e-04,1e-04,0.1039,0,16.5
"maker-scaffold1482-size64738-snap-gene-0.22-mRNA-1","00143","143",0.056,742.2,184.8,0.0088,8e-04,0.0904,0.6,16.7
"maker-scaffold1482-size64738-snap-gene-0.24-mRNA-1","00146","146",0.078,183.6,53.4,0.2017,0.0137,0.0681,2.5,3.6
"maker-scaffold1151-size28796-snap-gene-0.5-mRNA-1","00148","148",0.043,1009.2,313.8,0.0672,0.0034,0.0502,3.4,15.8
"maker-scaffold353-size88051-augustus-gene-0.32-mRNA-1","00151","151",0.038,146.5,57.5,0.0571,0.0022,0.0393,0.3,2.3
"maker-scaffold353-size88051-augustus-gene-0.35-mRNA-1","00152","152",0.033,1486.5,472.5,0.0436,0.0018,0.0407,2.6,19.2
"maker-scaffold353-size88051-snap-gene-0.45-mRNA-1","00154","154",0.137,720.3,236.7,0.2012,0.023,0.1143,16.6,27
"maker-scaffold353-size88051-snap-gene-0.43-mRNA-1","00155","155",0.074,119.5,33.5,0.0265,0.0027,0.1034,0.3,3.5
"augustus_masked-scaffold353-size88051-abinit-gene-0.4-mRNA-1","00157","157",0.056,681.7,248.3,0.0231,0.0015,0.0659,1,16.4
"augustus_masked-scaffold353-size88051-abinit-gene-0.11-mRNA-1","00158","158",0.089,1610.9,339.1,0.0232,0.0036,0.1536,5.7,52.1
"maker-scaffold353-size88051-snap-gene-0.48-mRNA-1","00159","159",0.092,612.4,212.6,0.0486,0.0051,0.1048,3.1,22.3
"snap_masked-scaffold353-size88051-abinit-gene-0.17-mRNA-1","00163","163",0.025,2412.5,818.5,0.0778,0.0021,0.0265,5,21.7
"snap_masked-scaffold353-size88051-abinit-gene-0.21-mRNA-1","00165","165",0.263,734.2,288.8,0.0541,0.0148,0.2734,10.9,79
"snap_masked-scaffold353-size88051-abinit-gene-0.22-mRNA-1","00168","168",0.043,830.1,297.9,0.0248,0.0013,0.051,1,15.2
"maker-scaffold940-size62467-augustus-gene-0.21-mRNA-1","00170","170",0.084,1228.7,442.3,0.0847,0.0072,0.0855,8.9,37.8
"maker-scaffold940-size62467-augustus-gene-0.22-mRNA-1","00171","171",0.098,1096.9,397.1,0.0719,0.0074,0.1024,8.1,40.6
"maker-scaffold940-size62467-snap-gene-0.32-mRNA-1","00172","172",0.032,1017.2,329.8,0.0358,0.0014,0.0395,1.4,13
"maker-scaffold940-size62467-augustus-gene-0.20-mRNA-1","00173","173",0.027,1667.3,471.7,0.0561,0.0019,0.0347,3.2,16.4
"maker-scaffold940-size62467-snap-gene-0.38-mRNA-1","00174","174",0.039,1547.7,462.3,0.0591,0.0028,0.047,4.3,21.7
"augustus_masked-scaffold940-size62467-abinit-gene-0.6-mRNA-1","00175","175",0.069,383.5,153.5,0.0571,0.004,0.0701,1.5,10.8
"maker-scaffold940-size62467-snap-gene-0.34-mRNA-1","00176","176",0.065,362.3,117.7,0.0176,0.0015,0.0836,0.5,9.8
"snap_masked-scaffold940-size62467-abinit-gene-0.16-mRNA-1","00177","177",0.066,513.6,152.4,0.0499,0.0041,0.0818,2.1,12.5
"maker-scaffold940-size62467-snap-gene-0.37-mRNA-1","00179","179",0.031,1093.2,364.8,0.0413,0.0015,0.0364,1.6,13.3
"maker-scaffold772-size62188-snap-gene-0.23-mRNA-1","00181","181",0.067,123.8,50.2,0.2226,0.0111,0.0499,1.4,2.5
"maker-scaffold772-size62188-snap-gene-0.21-mRNA-1","00183","183",0.13,496.5,148.5,0.2107,0.0234,0.1108,11.6,16.5
"maker-scaffold196-size118590-augustus-gene-0.31-mRNA-1","00188","188",0.078,1960.1,508.9,0.0455,0.0049,0.1069,9.5,54.4
"snap_masked-scaffold196-size118590-abinit-gene-0.12-mRNA-1","00189","189",0.046,999.9,269.1,0.0773,0.0043,0.0557,4.3,15
"maker-scaffold196-size118590-augustus-gene-0.33-mRNA-1","00193","193",0.086,2097,624,0.0102,0.0012,0.1215,2.6,75.8
"maker-scaffold196-size118590-augustus-gene-0.32-mRNA-1","00195","195",0.021,663,180,0.0466,0.0013,0.028,0.9,5
"maker-scaffold196-size118590-augustus-gene-0.34-mRNA-1","00196","196",0.045,350.9,123.1,0.1878,0.007,0.0375,2.5,4.6
"maker-scaffold196-size118590-augustus-gene-1.13-mRNA-1","00200","200",0.059,751.7,217.3,0.0525,0.0039,0.0737,2.9,16
"maker-scaffold196-size118590-augustus-gene-1.16-mRNA-1","00203","203",0.053,1306.1,454.9,0.0489,0.0029,0.0596,3.8,27.1
"maker-scaffold1248-size34368-augustus-gene-0.12-mRNA-1","00210","210",0.015,769.6,223.4,0.0388,7e-04,0.0193,0.6,4.3
"maker-scaffold1248-size34368-augustus-gene-0.11-mRNA-1","00211","211",0.076,191.3,54.7,0.0357,0.0036,0.1017,0.7,5.6
"snap_masked-scaffold1248-size34368-abinit-gene-0.6-mRNA-1","00212","212",0.036,390.3,110.7,0.0126,7e-04,0.0519,0.3,5.7
"maker-scaffold2842-size22543-snap-gene-0.6-mRNA-1","00215","215",0.055,693.4,212.6,0.1586,0.0081,0.0511,5.6,10.9
"maker-scaffold878-size21237-augustus-gene-0.3-mRNA-1","00220","220",0.076,425.3,138.7,0.106,0.0082,0.0776,3.5,10.8
"maker-scaffold497-size29455-augustus-gene-0.18-mRNA-1","00221","221",0.047,1150,326,0.053,0.0032,0.0595,3.6,19.4
"maker-scaffold497-size29455-augustus-gene-0.17-mRNA-1","00223","223",0.039,1238.3,480.7,0.1302,0.0046,0.0351,5.7,16.9
"snap_masked-scaffold497-size29455-abinit-gene-0.8-mRNA-1","00225","225",0.112,179.5,75.5,0.0027,3e-04,0.1257,0.1,9.5
"maker-scaffold497-size29455-augustus-gene-0.21-mRNA-1","00229","229",0.075,660.8,218.2,0.1903,0.0121,0.0638,8,13.9
"maker-scaffold944-size43801-augustus-gene-0.10-mRNA-1","00230","230",0.159,1199.9,363.1,0.1192,0.0195,0.1635,23.4,59.4
"augustus_masked-scaffold944-size43801-abinit-gene-0.3-mRNA-1","00233","233",0.008,524.5,165.5,0.1513,0.0012,0.0078,0.6,1.3
"maker-scaffold87-size92257-augustus-gene-0.32-mRNA-1","00236","236",0.056,1266.1,443.9,0.0621,0.0038,0.0616,4.8,27.3
"maker-scaffold87-size92257-augustus-gene-0.30-mRNA-1","00237","237",0.117,366.9,113.1,0.0448,0.0065,0.1442,2.4,16.3
"augustus_masked-scaffold87-size92257-abinit-gene-0.4-mRNA-1","00238","238",0.08,350.7,117.3,0.0179,0.0018,0.1004,0.6,11.8
"augustus_masked-scaffold87-size92257-abinit-gene-0.12-mRNA-1","00240","240",0.054,220.1,40.9,0.0641,0.0055,0.0852,1.2,3.5
"maker-scaffold87-size92257-snap-gene-0.49-mRNA-1","00241","241",0.122,952.3,322.7,0.0664,0.0089,0.1342,8.5,43.3
"augustus_masked-scaffold87-size92257-abinit-gene-0.11-mRNA-1","00242","242",0.044,214.4,37.6,0.0342,0.0028,0.0822,0.6,3.1
"maker-scaffold87-size92257-augustus-gene-0.36-mRNA-1","00244","244",0.052,1630.1,382.9,0.0392,0.0031,0.0788,5,30.2
"augustus_masked-scaffold87-size92257-abinit-gene-0.15-mRNA-1","00245","245",0.055,1079.2,285.8,0.0733,0.005,0.0685,5.4,19.6
"augustus_masked-scaffold87-size92257-abinit-gene-0.9-mRNA-1","00247","247",0.097,584.2,165.8,0.0512,0.0063,0.1236,3.7,20.5
"maker-scaffold288-size47279-augustus-gene-0.10-mRNA-1","00249","249",0.058,2465.6,642.4,0.0554,0.0043,0.0772,10.5,49.6
"maker-scaffold288-size47279-augustus-gene-0.11-mRNA-1","00250","250",0.066,435.8,92.2,0.029,0.0032,0.11,1.4,10.1
"maker-scaffold288-size47279-augustus-gene-0.13-mRNA-1","00252","252",0.117,1396.2,433.8,0.1398,0.0158,0.1133,22.1,49.2
"augustus_masked-scaffold1108-size56757-abinit-gene-0.9-mRNA-1","00258","258",0.062,388.5,136.5,1e-04,0,0.0789,0,10.8
"maker-scaffold1108-size56757-augustus-gene-0.30-mRNA-1","00261","261",0.177,1034.4,321.6,0.0558,0.0118,0.2115,12.2,68
"augustus_masked-scaffold1108-size56757-abinit-gene-0.7-mRNA-1","00262","262",0.034,1823.2,534.8,0.0389,0.0017,0.0442,3.1,23.6
"snap_masked-scaffold1108-size56757-abinit-gene-0.24-mRNA-1","00263","263",0.128,1366.1,418.9,0.0699,0.0103,0.1478,14.1,61.9
"augustus_masked-scaffold1108-size56757-abinit-gene-0.13-mRNA-1","00264","264",0.028,322.5,106.5,0.0884,0.0026,0.0299,0.9,3.2
"augustus_masked-scaffold1108-size56757-abinit-gene-0.4-mRNA-1","00265","265",0.072,236.7,45.3,0.0338,0.0043,0.1264,1,5.7
"augustus_masked-scaffold1108-size56757-abinit-gene-0.10-mRNA-1","00270","270",0.142,426.9,110.1,0.018,0.0039,0.2154,1.7,23.7
"maker-scaffold1108-size56757-augustus-gene-0.36-mRNA-1","00271","271",0.123,637.7,187.3,0.0282,0.0046,0.1646,3,30.8
"maker-scaffold1108-size56757-augustus-gene-0.37-mRNA-1","00272","272",0.031,1024.7,295.3,0.0285,0.0012,0.0422,1.2,12.5
"snap_masked-scaffold1108-size56757-abinit-gene-0.26-mRNA-1","00273","273",0.071,1113.4,326.6,0.0705,0.0059,0.0838,6.6,27.4
"maker-scaffold3705-size14862-augustus-gene-0.4-mRNA-1","00274","274",0.11,273.9,104.1,0.0918,0.0099,0.1074,2.7,11.2
"maker-scaffold3705-size14862-snap-gene-0.7-mRNA-1","00275","275",0.04,1270.2,373.8,0.1237,0.0051,0.041,6.4,15.3
"maker-scaffold4187-size6396-snap-gene-0.0-mRNA-1","00276","276",0.015,537.9,191.1,0.0486,8e-04,0.0162,0.4,3.1
"maker-scaffold1253-size43018-snap-gene-0.15-mRNA-1","00278","278",0.139,933.4,326.6,0.0591,0.009,0.1527,8.4,49.9
"maker-scaffold1253-size43018-augustus-gene-0.12-mRNA-1","00279","279",0.035,847.1,238.9,0.0868,0.0035,0.0408,3,9.7
"maker-scaffold1253-size43018-snap-gene-0.17-mRNA-1","00280","280",0.059,3881.1,963.9,0.0273,0.0024,0.0896,9.5,86.4
"augustus_masked-scaffold101-size120241-abinit-gene-0.0-mRNA-1","00285","285",0.069,747.8,233.2,0.088,0.0067,0.076,5,17.7
"augustus_masked-scaffold101-size120241-abinit-gene-0.3-mRNA-1","00286","286",0.064,817.4,280.6,0.1369,0.0082,0.06,6.7,16.8
"maker-scaffold101-size120241-snap-gene-0.23-mRNA-1","00287","287",0.081,1363.7,382.3,0.0646,0.0065,0.1003,8.8,38.3
"maker-scaffold101-size120241-augustus-gene-0.17-mRNA-1","00288","288",0.078,337.9,79.1,0.0293,0.0036,0.1213,1.2,9.6
"maker-scaffold101-size120241-augustus-gene-1.8-mRNA-1","00289","289",0.181,359.6,117.4,0.0721,0.0144,0.2003,5.2,23.5
"maker-scaffold101-size120241-augustus-gene-1.10-mRNA-1","00292","292",0.068,371.7,87.3,0.0332,0.0035,0.1043,1.3,9.1
"augustus_masked-scaffold5937-size3829-abinit-gene-0.0-mRNA-1","00293","293",0.045,961.7,196.3,0.0561,0.0039,0.0687,3.7,13.5
"maker-scaffold197-size74663-augustus-gene-0.21-mRNA-1","00296","296",0.045,1524.6,494.4,0.0248,0.0014,0.0564,2.1,27.9
"augustus_masked-scaffold197-size74663-abinit-gene-0.2-mRNA-1","00298","298",0.056,228.2,89.8,0.0486,0.0029,0.059,0.7,5.3
"maker-scaffold197-size74663-snap-gene-0.30-mRNA-1","00300","300",0.033,473.6,147.4,0.0078,4e-04,0.0458,0.2,6.8
"maker-scaffold197-size74663-augustus-gene-0.25-mRNA-1","00301","301",0.064,898.9,229.1,0.0301,0.0028,0.0944,2.6,21.6
"maker-scaffold197-size74663-snap-gene-0.31-mRNA-1","00302","302",0.095,1356.9,488.1,0.0743,0.0074,0.0994,10,48.5
"maker-scaffold197-size74663-snap-gene-0.32-mRNA-1","00303","303",0.1,533.5,141.5,0.0456,0.0062,0.1355,3.3,19.2
"augustus_masked-scaffold197-size74663-abinit-gene-0.3-mRNA-1","00304","304",0.06,1204.8,358.2,0.0538,0.004,0.0742,4.8,26.6
"snap_masked-scaffold2383-size24064-abinit-gene-0.1-mRNA-1","00307","307",0.081,412.7,148.3,0.0407,0.0037,0.0919,1.5,13.6
"maker-scaffold3238-size23081-snap-gene-0.4-mRNA-1","00311","311",0.063,1368.4,452.6,0.0434,0.0032,0.0744,4.4,33.7
"maker-scaffold984-size31903-snap-gene-0.8-mRNA-1","00315","315",0.036,382.9,127.1,0.0233,0.001,0.0445,0.4,5.7
"augustus_masked-scaffold984-size31903-abinit-gene-0.1-mRNA-1","00317","317",0.062,644.3,222.7,0.0409,0.003,0.0725,1.9,16.1
"maker-scaffold354-size56448-augustus-gene-0.12-mRNA-1","00318","318",0.139,1213.8,319.2,0.0814,0.0139,0.1702,16.8,54.3
"maker-scaffold354-size56448-snap-gene-0.17-mRNA-1","00319","319",0.034,957.7,221.3,0.0439,0.0023,0.0513,2.2,11.4
"maker-scaffold354-size56448-augustus-gene-0.14-mRNA-1","00321","321",0.056,1436.5,399.5,0.0525,0.0038,0.0717,5.4,28.7
"augustus_masked-scaffold993-size38900-abinit-gene-0.2-mRNA-1","00322","322",0.178,870.2,251.8,0.1123,0.0213,0.19,18.6,47.8
"maker-scaffold993-size38900-augustus-gene-0.8-mRNA-1","00323","323",0.046,2862,723,0.0252,0.0018,0.0695,5,50.3
"maker-scaffold2108-size17762-snap-gene-0.8-mRNA-1","00330","330",0.052,404.7,132.3,0.0707,0.0041,0.0578,1.7,7.6
"augustus_masked-scaffold3329-size30930-abinit-gene-0.2-mRNA-1","00333","333",0.051,566.7,150.3,0.0679,0.0044,0.0649,2.5,9.8
"augustus_masked-scaffold3329-size30930-abinit-gene-0.1-mRNA-1","00334","334",0.077,593,178,0.0375,0.0037,0.0994,2.2,17.7
"snap_masked-scaffold3329-size30930-abinit-gene-0.9-mRNA-1","00335","335",0.144,233.2,54.8,0.0495,0.0103,0.2083,2.4,11.4
"snap_masked-scaffold3329-size30930-abinit-gene-0.8-mRNA-1","00336","336",0.059,1315.1,313.9,0.053,0.0044,0.0837,5.8,26.3
"maker-scaffold3329-size30930-snap-gene-0.14-mRNA-1","00337","337",0.049,793,218,0.0341,0.0023,0.0669,1.8,14.6
"snap_masked-scaffold4104-size9136-abinit-gene-0.2-mRNA-1","00340","340",0.044,492,132,0.016,0.0011,0.066,0.5,8.7
"maker-scaffold1293-size42505-snap-gene-0.10-mRNA-1","00343","343",0.048,290.9,69.1,0.0433,0.003,0.0702,0.9,4.9
"maker-scaffold1293-size42505-snap-gene-0.9-mRNA-1","00344","344",0.184,167.3,60.7,0.0477,0.0097,0.2033,1.6,12.3
"maker-scaffold1293-size42505-augustus-gene-0.7-mRNA-1","00345","345",0.057,923,313,0.0209,0.0015,0.0705,1.4,22.1
"augustus_masked-scaffold3571-size12807-abinit-gene-0.2-mRNA-1","00347","347",0.285,256.9,58.1,0.0769,0.0296,0.3846,7.6,22.4
"snap_masked-scaffold3571-size12807-abinit-gene-0.4-mRNA-1","00348","348",0.223,438.5,119.5,0.0974,0.0249,0.2559,10.9,30.6
"maker-scaffold3571-size12807-snap-gene-0.7-mRNA-1","00349","349",0.039,662.7,195.3,0.0672,0.0031,0.0469,2.1,9.2
"maker-scaffold1527-size75587-augustus-gene-0.9-mRNA-1","00355","355",0.034,728.4,210.6,0.0618,0.0026,0.0413,1.9,8.7
"maker-scaffold1331-size42217-augustus-gene-0.13-mRNA-1","00359","359",0.075,2381.5,420.5,0.0452,0.006,0.1329,14.3,55.9
"maker-scaffold1331-size42217-augustus-gene-0.15-mRNA-1","00361","361",0.139,1351.8,319.2,0.0875,0.0155,0.1775,21,56.7
"augustus_masked-scaffold1331-size42217-abinit-gene-0.0-mRNA-1","00365","365",0.111,337.9,85.1,0.197,0.0203,0.1029,6.9,8.8
"maker-scaffold181-size42747-augustus-gene-0.19-mRNA-1","00368","368",0.081,1657.4,517.6,0.0697,0.0065,0.0932,10.8,48.2
"augustus_masked-scaffold181-size42747-abinit-gene-0.3-mRNA-1","00370","370",0.062,2919.7,1124.3,0.0689,0.0043,0.0631,12.7,70.9
"maker-scaffold181-size42747-snap-gene-0.26-mRNA-1","00372","372",0.089,1330.1,448.9,0.0588,0.0059,0.0997,7.8,44.7
"augustus_masked-scaffold181-size42747-abinit-gene-0.4-mRNA-1","00374","374",0.07,1099.2,376.8,0.0309,0.0026,0.0837,2.8,31.6
"augustus_masked-scaffold1455-size16365-abinit-gene-0.0-mRNA-1","00375","375",0.137,378.4,74.6,0.1131,0.0199,0.1764,7.5,13.2
"snap_masked-scaffold1928-size16641-abinit-gene-0.2-mRNA-1","00376","376",0.065,453.5,89.5,0.1088,0.0093,0.0852,4.2,7.6
"maker-scaffold2574-size9994-augustus-gene-0.5-mRNA-1","00378","378",0.084,726.6,197.4,0.0403,0.0046,0.1142,3.3,22.6
"augustus_masked-scaffold2574-size9994-abinit-gene-0.0-mRNA-1","00380","380",0.157,355.4,61.6,0.1491,0.0284,0.1907,10.1,11.7
"augustus_masked-scaffold998-size27632-abinit-gene-0.1-mRNA-1","00382","382",0.134,4355.1,1020.9,0.0828,0.0144,0.1741,62.8,177.8
"augustus_masked-scaffold3480-size8009-abinit-gene-0.0-mRNA-1","00385","385",0.113,476.1,123.9,0.1438,0.0169,0.1179,8.1,14.6
"maker-scaffold1901-size11499-augustus-gene-0.6-mRNA-1","00386","386",0.089,532,173,0.1059,0.0096,0.0911,5.1,15.8
"maker-scaffold1901-size11499-snap-gene-0.9-mRNA-1","00388","388",0.032,3216.8,938.2,0.0465,0.0019,0.0408,6.1,38.3
"maker-scaffold2652-size19919-augustus-gene-0.3-mRNA-1","00392","392",0.123,502.6,172.4,0.1437,0.0162,0.1127,8.1,19.4
"augustus_masked-scaffold832-size72345-abinit-gene-0.4-mRNA-1","00395","395",0.121,721.4,190.6,0.0483,0.0079,0.1631,5.7,31.1
"maker-scaffold832-size72345-snap-gene-0.19-mRNA-1","00396","396",0.143,575.9,150.1,0.135,0.0205,0.1516,11.8,22.8
"maker-scaffold1308-size50724-augustus-gene-0.16-mRNA-1","00400","400",0.052,833.1,255.9,0.0597,0.0037,0.0618,3.1,15.8
"maker-scaffold375-size105876-augustus-gene-0.15-mRNA-1","00409","409",0.076,502.8,160.2,0.0865,0.0071,0.0827,3.6,13.2
"maker-scaffold375-size105876-augustus-gene-0.17-mRNA-1","00410","410",0.083,750.9,191.1,0.0386,0.0046,0.1185,3.4,22.6
"maker-scaffold375-size105876-augustus-gene-0.20-mRNA-1","00413","413",0.13,928.5,268.5,0.1318,0.0174,0.1322,16.2,35.5
"maker-scaffold1694-size31559-augustus-gene-0.7-mRNA-1","00416","416",0.133,427.7,133.3,0.2107,0.0235,0.1114,10,14.8
"augustus_masked-scaffold1694-size31559-abinit-gene-0.0-mRNA-1","00417","417",0.145,262.4,133.6,0.2241,0.0223,0.0993,5.8,13.3
"maker-scaffold2057-size15028-augustus-gene-0.3-mRNA-1","00418","418",0.074,1539.6,461.4,0.0469,0.0043,0.0927,6.7,42.7
"maker-scaffold1040-size43979-augustus-gene-0.15-mRNA-1","00419","419",0.021,648.9,251.1,0.1295,0.0024,0.0188,1.6,4.7
"maker-scaffold1040-size43979-snap-gene-0.20-mRNA-1","00422","422",0.098,1713.1,458.9,0.0636,0.0079,0.1246,13.6,57.2
